modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value,param_pca_n_components,param_resampling_method,param_pca_enabled,param_fe_duration,param_fe_wind,param_fe_weather,param_fe_geo,param_fe_drop_columns,param_fe_infrastructure,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__bootstrap,param_model__subsample,param_model__learning_rate,param_model__solver,param_model__penalty,param_model__C,param_model__weights,param_model__p,param_model__n_neighbors,param_model__var_smoothing,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__alpha,param_model__max_samples,param_model__max_features,param_model__kernel,param_model__gamma,param_model__voting,param_model__final_estimator__C,param_model__num_leaves,param_model__min_data_in_leaf,param_model__lambda_l2,param_model__lambda_l1,param_model__feature_fraction,param_model__bagging_fraction,param_activation_params,param_activation_type,param_discriminant_params,param_discriminant_type,param_distance_params,param_distance_type,param_force_all_finite,param_prototype_init,param_prototype_n_per_class,param_random_state,param_solver_params,param_solver_type
RandomForest,0.4622,0.00455,0.45704,0.46417,0.45644,0.46641,0.46692,,0.9,oversample,False,False,False,False,True,True,False,50.0,10.0,4.0,30.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBoost,0.40098,0.00146,0.39866,0.40275,0.40188,0.40001,0.40161,,0.9,oversample,False,False,False,False,True,True,False,200.0,,,6.0,,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,0.25331,0.0036,0.24935,0.25409,0.25809,0.249,0.25601,,0.9,oversample,False,False,False,False,True,True,False,,,,,,,,lbfgs,l2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DecisionTree,0.38089,0.00167,0.37895,0.38356,0.38116,0.38151,0.37927,,0.9,oversample,False,False,False,False,True,True,False,,5.0,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN,0.32272,0.0042,0.32166,0.32099,0.33091,0.31893,0.3211,,0.9,oversample,False,False,False,False,True,True,False,,,,,,,,,,,distance,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaiveBayes,0.23037,0.01042,0.22299,0.23414,0.24479,0.23518,0.21477,,0.9,oversample,False,False,False,False,True,True,False,,,,,,,,,,,,,,1e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,0.31654,0.00607,0.3186,0.31393,0.31215,0.32742,0.3106,,0.9,oversample,False,False,False,False,True,True,False,,,,,,,,,,,,,,,0.001,"(100,)",0.001,,,,,,,,,,,,,,,,,,,,,,,,
AdaBoost,0.29223,0.00745,0.29964,0.29804,0.2928,0.29217,0.27849,,0.9,oversample,False,False,False,False,True,True,False,100.0,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagging,0.46435,0.00423,0.46749,0.46808,0.45642,0.4638,0.46593,,0.9,oversample,False,False,False,False,True,True,False,100.0,,,,,,,,,,,,,,,,,0.5,0.75,,,,,,,,,,,,,,,,,,,,,,
SVM,0.11924,0.0619,0.08111,0.04115,0.16819,0.09391,0.21182,,0.9,oversample,False,False,False,False,True,True,False,,,,,,,,,,10.0,,,,,,,,,,linear,auto,,,,,,,,,,,,,,,,,,,,
Voting,0.42185,0.00414,0.41611,0.42434,0.42793,0.41879,0.4221,,0.9,oversample,False,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,soft,,,,,,,,,,,,,,,,,,,
Stacking,0.34024,0.00328,0.3459,0.3371,0.33699,0.33983,0.34138,,0.9,oversample,False,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
LightGBM,0.45603,0.00132,0.45424,0.45737,0.45649,,,,0.9,oversample,False,False,False,False,True,True,False,,,,,,,0.1,,,,,,,,,,,,,,,,,255.0,20.0,1.0,1.0,0.8,1.0,,,,,,,,,,,,
LVQ_GLVQ,,,,,,,,,,oversample,False,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,sigmoid,None,relative-distance,None,squared-euclidean,True,class-conditional-mean,1.0,42.0,None,steepest-gradient-descent
