modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.42075,0.00581,0.4208,0.42707,0.40994,0.42191,0.42404,0.03125
XGBoost,0.38917,0.00263,0.38491,0.39233,0.3913,0.38781,0.38952,0.03125
LogisticRegression,0.25354,0.00351,0.24951,0.25462,0.25742,0.24928,0.25688,0.03125
DecisionTree,0.40104,0.00371,0.40355,0.40715,0.39785,0.39855,0.3981,0.03125
KNN,0.30458,0.00349,0.30325,0.30598,0.30893,0.2986,0.30612,0.03125
NaiveBayes,0.14224,0.02237,0.16391,0.16005,0.13063,0.1039,0.15273,1.0
MLP,0.32719,0.00467,0.32236,0.32239,0.33268,0.33272,0.32581,0.03125
AdaBoost,0.27385,0.01302,0.28826,0.28295,0.27684,0.25067,0.27051,0.03125
Bagging,0.43123,0.00572,0.42266,0.43975,0.42881,0.43042,0.43449,0.03125
SVM,0.08276,0.02516,0.05476,0.11096,0.07605,0.11358,0.05844,1.0
Voting,0.32413,0.00393,0.31889,0.32495,0.32844,0.32029,0.32808,0.03125
Stacking,0.30644,0.00617,0.31437,0.31234,0.30624,0.29954,0.29973,1.0
LightGBM,0.36879,0.00116,0.36942,0.37057,0.36854,0.36707,0.36835,0.03125
