modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.4193,0.00329,0.41936,0.42296,0.41458,0.42281,0.41679,0.03125
XGBoost,0.38917,0.00263,0.38491,0.39233,0.3913,0.38781,0.38952,0.03125
LogisticRegression,0.25339,0.00348,0.2496,0.25474,0.25735,0.24893,0.25635,0.03125
DecisionTree,0.40295,0.0032,0.40726,0.40475,0.4029,0.40226,0.39756,0.03125
KNN,0.30458,0.00349,0.30325,0.30598,0.30893,0.2986,0.30612,0.03125
NaiveBayes,0.14224,0.02237,0.16391,0.16005,0.13063,0.1039,0.15273,1.0
MLP,0.32376,0.0091,0.33026,0.33341,0.30779,0.32024,0.32712,0.03125
AdaBoost,0.27385,0.01302,0.28826,0.28295,0.27684,0.25067,0.27051,0.03125
Bagging,0.4299,0.00379,0.42705,0.43511,0.4259,0.43381,0.42763,0.03125
SVM,0.08276,0.02516,0.05476,0.11096,0.07605,0.11358,0.05844,1.0
Voting,0.32397,0.004,0.31935,0.32422,0.32855,0.31954,0.3282,0.03125
Stacking,0.30683,0.00691,0.31764,0.31209,0.30353,0.30133,0.29956,1.0
LightGBM,0.36878,0.00117,0.36942,0.37057,0.36854,0.36707,0.3683,0.03125
