modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.38921,0.00576,0.39385,0.39126,0.37808,0.38962,0.39323,0.03125
XGBoost,0.37158,0.00177,0.37159,0.37492,0.37114,0.37002,0.37022,0.84375
LogisticRegression,0.20592,0.00162,0.20334,0.20721,0.20666,0.20476,0.20763,1.0
DecisionTree,0.38068,0.00476,0.38467,0.38707,0.37861,0.37355,0.37948,0.90625
KNN,0.29138,0.00306,0.28837,0.29375,0.29366,0.287,0.29415,0.03125
NaiveBayes,0.08404,0.0084,0.08962,0.08636,0.09474,0.07095,0.07854,1.0
MLP,0.3035,0.00421,0.3062,0.30925,0.30094,0.30407,0.29706,0.03125
AdaBoost,0.26461,0.01308,0.2686,0.27919,0.27684,0.25067,0.24776,0.0625
Bagging,0.40467,0.00164,0.40761,0.40526,0.40304,0.40394,0.40351,0.03125
SVM,0.0904,0.01433,0.07499,0.08765,0.10733,0.10673,0.07532,1.0
Voting,0.30882,0.00189,0.30945,0.30619,0.31173,0.30745,0.30928,0.03125
Stacking,0.28845,0.00274,0.29287,0.28876,0.28866,0.2843,0.28763,1.0
LightGBM,0.35182,0.0013,0.35356,0.35136,0.34972,0.35177,0.35271,0.90625
