modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.41707,0.00296,0.41787,0.41993,0.41141,0.41733,0.41882,0.03125
XGBoost,0.38917,0.00263,0.38491,0.39233,0.3913,0.38781,0.38952,0.03125
LogisticRegression,0.25354,0.00351,0.24951,0.25462,0.25742,0.24928,0.25688,0.03125
DecisionTree,0.40209,0.0029,0.40351,0.40716,0.40016,0.39961,0.40001,0.03125
KNN,0.30458,0.00349,0.30325,0.30598,0.30893,0.2986,0.30612,0.03125
NaiveBayes,0.14224,0.02237,0.16391,0.16005,0.13063,0.1039,0.15273,1.0
MLP,0.33469,0.00625,0.32629,0.33502,0.33006,0.3444,0.33766,0.03125
AdaBoost,0.27385,0.01302,0.28826,0.28295,0.27684,0.25067,0.27051,0.03125
Bagging,0.42977,0.00452,0.42747,0.43687,0.42446,0.43302,0.42703,0.03125
SVM,0.08276,0.02516,0.05476,0.11096,0.07605,0.11358,0.05844,1.0
Voting,0.32414,0.0037,0.31976,0.32443,0.32832,0.32012,0.32808,0.03125
Stacking,0.30443,0.00256,0.29964,0.30733,0.3051,0.30539,0.3047,1.0
LightGBM,0.36879,0.00116,0.36942,0.37057,0.36854,0.36707,0.36835,0.03125
