modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.42477,0.00329,0.4298,0.42449,0.4195,0.42434,0.42571,0.03125
XGBoost,0.3891,0.00213,0.38697,0.39115,0.3918,0.38652,0.38906,0.03125
LogisticRegression,0.25257,0.00378,0.24831,0.25397,0.25786,0.24817,0.25455,0.03125
DecisionTree,0.40196,0.0045,0.39996,0.41085,0.40092,0.39878,0.39931,0.03125
KNN,0.30696,0.00362,0.30827,0.30755,0.31241,0.30142,0.30515,0.03125
NaiveBayes,0.23037,0.01042,0.22299,0.23414,0.24479,0.23518,0.21477,1.0
MLP,0.32506,0.00672,0.32054,0.31572,0.33037,0.3242,0.33449,0.03125
AdaBoost,0.27385,0.01302,0.28826,0.28295,0.27684,0.25067,0.27051,0.03125
Bagging,0.43036,0.00452,0.42507,0.43673,0.4253,0.43226,0.43246,0.03125
SVM,0.11879,0.04191,0.18738,0.13175,0.06962,0.0806,0.1246,1.0
Voting,0.32398,0.00361,0.31871,0.32509,0.32861,0.32105,0.32643,0.03125
Stacking,0.31026,0.00499,0.31674,0.30932,0.31118,0.30156,0.31252,1.0
LightGBM,0.36883,0.00238,0.37288,0.36962,0.36731,0.36586,0.36848,0.03125
