modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.42017,0.00313,0.42296,0.42156,0.41543,0.41757,0.42333,0.03125
XGBoost,0.38917,0.00263,0.38491,0.39233,0.3913,0.38781,0.38952,0.03125
LogisticRegression,0.25354,0.00351,0.24951,0.25462,0.25742,0.24928,0.25688,0.03125
DecisionTree,0.40093,0.00187,0.40427,0.40169,0.39995,0.39944,0.39932,0.03125
KNN,0.30458,0.00349,0.30325,0.30598,0.30893,0.2986,0.30612,0.03125
NaiveBayes,0.14224,0.02237,0.16391,0.16005,0.13063,0.1039,0.15273,1.0
MLP,0.33134,0.01161,0.33591,0.32796,0.33784,0.34437,0.31061,0.03125
AdaBoost,0.27385,0.01302,0.28826,0.28295,0.27684,0.25067,0.27051,0.03125
Bagging,0.42797,0.0067,0.42514,0.44093,0.42464,0.4272,0.42192,0.03125
SVM,0.08276,0.02516,0.05476,0.11096,0.07605,0.11358,0.05844,1.0
Voting,0.32385,0.00378,0.31895,0.32413,0.32774,0.32021,0.3282,0.03125
Stacking,0.30535,0.0026,0.30923,0.30698,0.30311,0.30538,0.30204,1.0
LightGBM,0.36879,0.00116,0.36942,0.37057,0.36854,0.36707,0.36835,0.03125
