modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.36219,0.00176,0.3633,0.36125,0.35948,0.36463,0.3623,
XGBoost,0.37384,0.00516,0.38079,0.37512,0.36493,0.37283,0.37554,
LogisticRegression,0.22824,0.0013,0.22841,0.22722,0.23048,0.22671,0.22837,
DecisionTree,0.38473,0.00161,0.38372,0.38597,0.3821,0.3865,0.38534,
KNN,0.27314,0.00367,0.27285,0.26928,0.27991,0.27308,0.27059,
NaiveBayes,0.26424,0.00327,0.26676,0.2604,0.26278,0.26202,0.26926,
MLP,0.26656,0.00556,0.26208,0.25849,0.27354,0.27095,0.26775,
AdaBoost,0.24475,0.01124,0.25405,0.25109,0.22775,0.23507,0.25579,
Bagging,0.39833,0.00585,0.40269,0.40131,0.38685,0.40156,0.39925,
SVM,0.23789,0.01113,0.22468,0.2304,0.24984,0.25246,0.23209,
Voting,0.25942,0.0101,0.26186,0.26672,0.26357,0.23949,0.26547,
Stacking,0.39404,0.00509,0.39001,0.39204,0.38917,0.39584,0.40313,
LightGBM,0.35596,0.00653,0.35728,0.36136,0.34357,0.35628,0.3613,
