modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.39778,0.00193,0.39969,0.39664,0.39464,0.39966,0.39828,0.03125
XGBoost,0.37003,0.00107,0.36887,0.37164,0.36883,0.37047,0.37035,0.90625
LogisticRegression,0.2029,0.00134,0.20093,0.20407,0.20464,0.20279,0.20207,1.0
DecisionTree,0.38221,0.00349,0.38488,0.3862,0.37817,0.37791,0.3839,0.90625
KNN,0.29188,0.00261,0.2889,0.29309,0.29479,0.28861,0.29398,0.03125
NaiveBayes,0.20045,0.01091,0.19663,0.20086,0.21357,0.20904,0.18215,1.0
MLP,0.29005,0.00651,0.28865,0.29608,0.29647,0.29051,0.27856,0.03125
AdaBoost,0.26461,0.01308,0.2686,0.27919,0.27684,0.25067,0.24776,0.0625
Bagging,0.40536,0.00374,0.41157,0.40524,0.40633,0.40347,0.40019,0.03125
SVM,0.0942,0.01841,0.11205,0.11889,0.07603,0.07368,0.09035,1.0
Voting,0.30841,0.00178,0.3083,0.30679,0.3118,0.30716,0.30799,0.03125
Stacking,0.29345,0.00278,0.2975,0.29388,0.28975,0.29105,0.29507,1.0
LightGBM,0.351,0.0022,0.35517,0.34972,0.34886,0.3502,0.35106,0.9375
