modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.40085,0.00379,0.40132,0.4016,0.39384,0.40217,0.40533,0.03125
XGBoost,0.3978,0.0034,0.39581,0.39877,0.39335,0.39749,0.40356,0.03125
LogisticRegression,0.20622,0.00128,0.2056,0.20792,0.20758,0.20513,0.20486,1.0
DecisionTree,0.34422,0.00399,0.34969,0.34838,0.34029,0.34092,0.3418,1.0
KNN,0.27863,0.00138,0.27795,0.27893,0.2776,0.27746,0.28119,0.0625
NaiveBayes,0.18455,0.0128,0.17948,0.18427,0.19481,0.20046,0.16371,1.0
MLP,0.29293,0.01011,0.27659,0.29245,0.28879,0.30142,0.30538,0.03125
AdaBoost,0.25755,0.00965,0.25458,0.25659,0.26481,0.27,0.24179,0.15625
Bagging,0.37211,0.00596,0.37714,0.37271,0.36243,0.36913,0.37915,1.0
SVM,0.07813,0.02187,0.06961,0.11456,0.04862,0.08666,0.07122,1.0
Voting,0.29523,0.00165,0.29414,0.29391,0.29831,0.29561,0.2942,0.03125
Stacking,0.38423,0.00452,0.38749,0.38409,0.37773,0.38127,0.39059,1.0
LightGBM,0.38725,0.002,0.38772,0.3887,0.38331,0.38846,0.38804,0.03125
