modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.29968,0.00224,0.30007,0.30306,0.29615,0.29887,0.30028,1.0
XGBoost,0.32003,0.00231,0.31736,0.32331,0.31815,0.31918,0.32214,1.0
LogisticRegression,0.1936,0.00196,0.19458,0.19122,0.19559,0.19126,0.19535,1.0
DecisionTree,0.2841,0.00417,0.28657,0.28491,0.28809,0.27613,0.28477,1.0
KNN,0.21297,0.00173,0.21585,0.21204,0.21069,0.2136,0.21265,1.0
NaiveBayes,0.15748,0.04224,0.19825,0.21377,0.15029,0.11374,0.11135,1.0
MLP,0.26147,0.00494,0.26087,0.26796,0.25415,0.25863,0.26573,0.90625
AdaBoost,0.26328,0.01649,0.25679,0.28339,0.23494,0.26972,0.27158,0.03125
Bagging,0.31334,0.00194,0.31007,0.31596,0.31445,0.31317,0.31308,1.0
SVM,0.16627,0.02302,0.19144,0.14169,0.14557,0.19611,0.15657,1.0
Voting,0.27278,0.00493,0.26849,0.27421,0.27117,0.28166,0.26837,0.03125
Stacking,0.29718,0.00343,0.29551,0.3033,0.29295,0.29762,0.29653,1.0
LightGBM,0.32227,0.00123,0.32307,0.32414,0.32081,0.32116,0.32219,1.0
