modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.31523,0.00503,0.30985,0.31829,0.31948,0.30842,0.32009,1.0
XGBoost,0.31981,0.00147,0.32043,0.31899,0.31875,0.31846,0.3224,1.0
LogisticRegression,0.20188,0.0067,0.19958,0.19857,0.19829,0.19773,0.21523,1.0
DecisionTree,0.31156,0.00352,0.31458,0.31448,0.31422,0.30764,0.30689,1.0
KNN,0.30231,0.00395,0.30391,0.30222,0.30769,0.29548,0.30225,0.03125
NaiveBayes,0.21233,0.00575,0.21074,0.21885,0.2152,0.21483,0.20203,1.0
MLP,0.30211,0.00327,0.30369,0.29896,0.30111,0.30769,0.29911,0.03125
AdaBoost,0.19554,0.02201,0.1885,0.17179,0.18957,0.23734,0.19049,0.96875
Bagging,0.32698,0.00154,0.32506,0.32552,0.32832,0.32903,0.32699,1.0
SVM,0.10931,0.03574,0.14305,0.07914,0.13807,0.0545,0.13179,1.0
Voting,0.25793,0.00528,0.25505,0.26279,0.25594,0.25074,0.26513,0.78125
Stacking,0.25962,0.00213,0.25627,0.26046,0.26185,0.25808,0.26145,1.0
LightGBM,0.29149,0.0029,0.2925,0.29195,0.29328,0.28583,0.29386,1.0
